method,bug_id,n_patches,n_correct,n_tied_top,top1_correct_expected,random_expected
Diff features only,Closure-124,4,0,1,0.0,0.0
Diff features only,Closure-125,2,0,1,0.0,0.0
Diff features only,Closure-126,12,7,4,0.0,0.5833333333333334
Diff features only,Closure-127,2,0,1,0.0,0.0
Diff features only,Closure-129,6,0,1,0.0,0.0
Diff features only,Closure-130,4,0,1,0.0,0.0
Diff features only,Closure-133,2,0,1,0.0,0.0
Diff features only,Closure-14,2,1,2,0.5,0.5
Diff features only,Closure-18,6,2,6,0.3333333333333333,0.3333333333333333
Diff features only,Closure-21,10,0,2,0.0,0.0
Diff features only,Closure-22,10,0,1,0.0,0.0
Diff features only,Closure-26,2,0,1,0.0,0.0
Diff features only,Closure-31,3,1,1,0.0,0.3333333333333333
Diff features only,Closure-33,6,1,3,0.3333333333333333,0.16666666666666666
Diff features only,Closure-38,5,1,5,0.2,0.2
Diff features only,Closure-40,2,2,2,1.0,1.0
Diff features only,Closure-45,5,0,1,0.0,0.0
Diff features only,Closure-46,6,1,1,0.0,0.16666666666666666
Diff features only,Closure-55,4,0,1,0.0,0.0
Diff features only,Closure-59,4,0,2,0.0,0.0
Diff features only,Closure-61,2,0,1,0.0,0.0
Diff features only,Closure-62,9,5,6,0.8333333333333334,0.5555555555555556
Diff features only,Closure-63,9,5,6,0.8333333333333334,0.5555555555555556
Diff features only,Closure-66,2,0,2,0.0,0.0
Diff features only,Closure-67,4,0,1,0.0,0.0
Diff features only,Closure-68,3,1,1,1.0,0.3333333333333333
Diff features only,Closure-7,2,0,1,0.0,0.0
Diff features only,Closure-73,8,7,8,0.875,0.875
Diff features only,Closure-75,4,0,1,0.0,0.0
Diff features only,Closure-78,4,0,1,0.0,0.0
Diff features only,Closure-8,2,0,1,0.0,0.0
Diff features only,Closure-86,5,1,5,0.2,0.2
Diff features only,Closure-92,10,0,10,0.0,0.0
Diff features only,Closure-93,9,0,9,0.0,0.0
Diff features only,Lang-10,5,3,1,0.0,0.6
Diff features only,Lang-13,3,0,1,0.0,0.0
Diff features only,Lang-16,4,0,1,0.0,0.0
Diff features only,Lang-18,2,0,2,0.0,0.0
Diff features only,Lang-20,4,0,3,0.0,0.0
Diff features only,Lang-22,4,0,4,0.0,0.0
Diff features only,Lang-24,3,1,1,1.0,0.3333333333333333
Diff features only,Lang-27,7,0,1,0.0,0.0
Diff features only,Lang-33,4,4,1,1.0,1.0
Diff features only,Lang-38,4,4,2,1.0,1.0
Diff features only,Lang-39,4,1,1,1.0,0.25
Diff features only,Lang-41,3,0,3,0.0,0.0
Diff features only,Lang-43,5,2,3,0.6666666666666666,0.4
Diff features only,Lang-44,3,0,1,0.0,0.0
Diff features only,Lang-45,6,1,1,1.0,0.16666666666666666
Diff features only,Lang-51,14,6,1,1.0,0.42857142857142855
Diff features only,Lang-53,2,0,1,0.0,0.0
Diff features only,Lang-55,5,1,1,0.0,0.2
Diff features only,Lang-57,7,5,5,1.0,0.7142857142857143
Diff features only,Lang-58,5,1,1,1.0,0.2
Diff features only,Lang-59,20,5,11,0.45454545454545453,0.25
Diff features only,Lang-6,6,5,6,0.8333333333333334,0.8333333333333334
Diff features only,Lang-61,3,0,1,0.0,0.0
Diff features only,Lang-63,6,0,4,0.0,0.0
Diff features only,Lang-7,4,1,1,0.0,0.25
Diff features only,Math-104,2,0,2,0.0,0.0
Diff features only,Math-105,2,0,2,0.0,0.0
Diff features only,Math-15,2,0,2,0.0,0.0
Diff features only,Math-2,12,0,2,0.0,0.0
Diff features only,Math-20,3,0,1,0.0,0.0
Diff features only,Math-28,7,0,4,0.0,0.0
Diff features only,Math-30,3,3,3,1.0,1.0
Diff features only,Math-31,2,0,1,0.0,0.0
Diff features only,Math-32,5,1,5,0.2,0.2
Diff features only,Math-33,6,3,1,0.0,0.5
Diff features only,Math-34,2,2,2,1.0,1.0
Diff features only,Math-4,3,1,1,0.0,0.3333333333333333
Diff features only,Math-40,4,0,2,0.0,0.0
Diff features only,Math-41,3,1,1,1.0,0.3333333333333333
Diff features only,Math-42,2,0,1,0.0,0.0
Diff features only,Math-43,2,0,1,0.0,0.0
Diff features only,Math-49,6,0,2,0.0,0.0
Diff features only,Math-5,15,11,1,1.0,0.7333333333333333
Diff features only,Math-50,15,6,1,0.0,0.4
Diff features only,Math-53,7,4,1,1.0,0.5714285714285714
Diff features only,Math-57,8,6,7,0.8571428571428571,0.75
Diff features only,Math-58,8,5,4,1.0,0.625
Diff features only,Math-59,6,5,6,0.8333333333333334,0.8333333333333334
Diff features only,Math-6,3,0,3,0.0,0.0
Diff features only,Math-62,3,0,3,0.0,0.0
Diff features only,Math-63,15,1,1,0.0,0.06666666666666667
Diff features only,Math-65,2,2,2,1.0,1.0
Diff features only,Math-69,2,0,1,0.0,0.0
Diff features only,Math-7,2,0,1,0.0,0.0
Diff features only,Math-70,11,9,2,0.0,0.8181818181818182
Diff features only,Math-71,3,1,1,1.0,0.3333333333333333
Diff features only,Math-73,5,0,1,0.0,0.0
Diff features only,Math-75,7,7,7,1.0,1.0
Diff features only,Math-78,2,0,1,0.0,0.0
Diff features only,Math-79,3,3,3,1.0,1.0
Diff features only,Math-8,6,0,3,0.0,0.0
Diff features only,Math-80,31,4,1,0.0,0.12903225806451613
Diff features only,Math-81,14,0,1,0.0,0.0
Diff features only,Math-82,23,7,1,0.0,0.30434782608695654
Diff features only,Math-84,10,0,1,0.0,0.0
Diff features only,Math-85,38,6,1,0.0,0.15789473684210525
Diff features only,Math-88,5,0,5,0.0,0.0
Diff features only,Math-89,4,4,3,1.0,1.0
Diff features only,Math-95,8,0,1,0.0,0.0
Diff features only,Time-11,2,0,1,0.0,0.0
